ID,comid,main,hydroseq,outlet_comid,gages
4400,1702790,6048,150047379,1700576,
5731,1702786,7883,150047380,1702786,
5682,1702774,7818,150047381,1702774,
5681,1702766,7817,150047382,1702766,
4951,1702756,6821,150047384,1702782,
5730,1702744,7882,150047385,1702744,
5700,1702730,7838,150047386,1702730,
5715,1702698,7862,150047388,1702698,
5680,1702692,7816,150047389,1702692,
4224,1702682,5831,150047390,1702642,
5763,1702662,7927,150047391,1702662,
5704,1702654,7843,150047392,1702654,
5679,1702650,7815,150047393,1702650,
4389,1702576,6036,150047395,1702558,
5718,1702562,7864,150047396,1702562,
5705,1702522,7844,150047398,1702522,
3909,1702520,5295,150047399,1702552,
5672,1702516,7807,150047400,1702516,
5711,1702498,7852,150047401,1702498,
4391,1702496,6040,150047402,1701688,
5710,1702484,7851,150047403,1702484,
5670,1702442,7805,150047404,1702442,
5709,1702408,7850,150047406,1702408,
5706,1702402,7845,150047407,1702402,
5656,1702376,7787,150047409,1702376,
5673,1702258,7808,150047415,1702258,
4067,1702256,5583,150047416,1702372,
5676,1702240,7811,150047417,1702240,
4964,1701874,6845,150047445,1702724,
4636,1701872,6356,150047446,1700486,
4143,1701850,5693,150047449,1702298,
4625,1701804,6341,150047455,1702688,
4634,1701802,6353,150047456,1702492,
5703,1701798,7841,150047457,1701798,
4396,1701796,6044,150047458,1701796,
4968,1701778,6851,150047462,1702460,
4606,1701764,6317,150047465,1705890,
4936,1701750,6794,150047466,1702446,
4937,1701748,6795,150047467,1702450,
4060,1701744,5572,150047469,1702518,
4218,1701742,5817,150047470,1701760,
4958,1701736,6833,150047471,1702800,
4604,1701732,6314,150047472,1701728,
4938,1701722,6796,150047473,1702464,
4058,1701698,5571,150047476,24894808,
3985,1701664,5460,150047479,1701692,
4949,1701644,6819,150047482,1702598,
4615,1701624,6330,150047483,1702634,
4960,1701556,6837,150047487,1702432,
5769,1701552,7934,150047488,1701552,
5677,1701544,7813,150047489,1701544,
4627,1701528,6345,150047491,1701528,
4942,1701520,6803,150047493,1702360,
5652,1701516,7779,150047494,1701516,
4618,1701506,6332,150047495,1701506,
4238,1701496,5846,150047496,1701508,
5633,1701476,7756,150047498,1701476,
5738,1700702,7892,150047505,1700702,
5735,1700698,7886,150047506,1700698,
5737,1700690,7889,150047507,1700690,
4984,1700688,6876,150047508,1700688,
4639,1700676,6362,150047509,1700676,
4404,1700644,6053,150047510,1700654,
4996,1700638,6892,150047511,1700636,
5736,1700632,7887,150047512,1700632,
4601,1700602,6311,150047513,1700650,
5640,1700592,7765,150047514,1700592,
5759,1700588,7918,150047516,1700588,
5639,1700570,7764,150047517,1700570,
5642,1700564,7767,150047518,1700564,
5638,1700550,7762,150047519,1700550,
4638,1700544,6358,150047520,1700538,
4932,1700496,6788,150047521,1700062,
5645,1700422,7770,150047524,1700422,
3980,1700356,5458,150047528,1700356,
3669,1700350,4981,150047530,1700452,
5757,1700222,7916,150047532,1700222,
4147,1700202,5699,150047533,1700678,
4997,1700196,6893,150047534,1700612,
4983,1700194,6875,150047535,1700802,
4402,1700192,6052,150047536,1700192,
4982,1700154,6873,150047537,1700680,
4933,1700092,6790,150047540,1700620,
4969,1699986,6852,150047550,1700472,
4635,1699944,6354,150047556,1700430,
4929,1699854,6782,150047567,1700406,
4602,1699846,6313,150047569,1699846,
5650,1699810,7776,150047571,1699810,
3942,1699776,5365,150047575,1699844,
5000,1699086,6897,150047584,1699086,
5687,1699066,7825,150047585,1699066,
4621,1699050,6333,150047587,1699056,
5765,1699048,7928,150047588,1699048,
4647,1699040,6372,150047589,1699040,
3030,1699022,4158,150047590,1698700,
5686,1698902,7824,150047591,1698902,
5683,1698898,7821,150047592,1698898,
5762,1698888,7925,150047594,1698888,
5685,1698878,7823,150047595,1698878,
4371,1698870,6019,150047596,1698848,
5669,1698862,7804,150047598,1698862,
5658,1698844,7789,150047599,1698844,
5663,1698824,7794,150047601,1698824,
5659,1698812,7790,150047604,1698812,
4049,1698808,5562,150047605,1698816,
5661,1698804,7791,150047606,1698804,
5664,1698800,7795,150047607,1698800,
5665,1698788,7796,150047608,1698788,
4943,1698704,6807,150047612,1698796,
4053,1698644,5566,150047615,1698644,
4232,1698618,5844,150047617,1698624,
3904,1698612,5287,150047618,1698924,
4952,1698564,6823,150047623,1698908,
5003,1698548,6898,150047624,1698906,
4526,6129,6230,150048672,3921,
4562,5545,6261,150048695,5545,
5532,4005,7612,150048707,4005,
5530,3893,7610,150048718,3893,
4837,3885,6652,150048719,3887,
4883,3503,6706,150048743,3899,
4882,3189,6705,150048757,3993,
3669,24894820,4981,150049083,1700452,
5197,1737192,7152,150063855,1736120,
3516,1737188,4764,150063857,1737008,
5030,1737180,6934,150063861,1735916,
4658,1737178,6392,150063862,1737252,
5034,1737176,6938,150063863,1735884,
3650,1737174,4957,150063864,1736838,
3572,1737170,4805,150063866,1736726,
6044,1736664,8340,150063871,1736664,
6020,1736652,8307,150063873,1736652,
5994,1736646,8271,150063874,1736646,
5784,1736630,7968,150063876,1736630,
5789,1736616,7976,150063879,1736616,
5037,1736614,6943,150063880,1735824,
5958,1736612,8229,150063881,1736612,
4264,1736608,5882,150063882,1736608,
4419,1736604,6077,150063883,1735798,
3995,1736572,5479,150063889,1736724,
5990,1736566,8266,150063890,1736566,
4275,1736382,5894,150063904,1737164,
4469,1736280,6132,150063925,1736200,
4177,1736264,5734,150063931,1736178,
4737,1736256,6492,150063933,1743106,
5018,1736234,6920,150063936,1737116,
5019,1736144,6921,150063948,1737048,
6043,1736138,8339,150063949,1736138,
5778,1736104,7958,150063956,1736104,
5196,1736094,7151,150063960,1736150,
4084,1736092,5609,150063961,1736990,
4655,1736084,6387,150063963,1737016,
4728,1736076,6483,150063965,1743096,
4070,1736066,5587,150063968,1735996,
6019,1736058,8306,150063969,1736058,
5022,1736034,6925,150063975,1736974,
5023,1736008,6926,150063979,1736972,
5024,1735984,6927,150063984,1736954,
5779,1735980,7960,150063986,1735980,
4727,1735962,6481,150063992,1736958,
4003,1735954,5497,150063995,1735898,
5173,1735948,7123,150063997,1737256,
